"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","985","Переход по клику на ""Конструктор""","tests","Sat Jun 21 23:00:43 MSK 2025","passed","Sat Jun 21 23:00:44 MSK 2025","TestConstructor","test_constructor","",""
"","1682","Проверка роста счётчика ""Выполнено за все время""","tests","Sat Jun 21 23:01:20 MSK 2025","passed","Sat Jun 21 23:01:22 MSK 2025","TestFeed","test_feed","",""
"","120","При добавлении ингредиента в заказ счётчик увеличивается","tests","Sat Jun 21 23:01:14 MSK 2025","passed","Sat Jun 21 23:01:14 MSK 2025","TestConstructor","test_constructor","",""
"","177","При добавлении ингредиента в заказ счётчик увеличивается","tests","Sat Jun 21 23:01:03 MSK 2025","passed","Sat Jun 21 23:01:03 MSK 2025","TestConstructor","test_constructor","",""
"","2622","Проверка роста счётчика ""Выполнено за все время""","tests","Sat Jun 21 23:01:32 MSK 2025","passed","Sat Jun 21 23:01:34 MSK 2025","TestFeed","test_feed","",""
"","1635","Переход по клику на ""Конструктор""","tests","Sat Jun 21 23:00:54 MSK 2025","passed","Sat Jun 21 23:00:56 MSK 2025","TestConstructor","test_constructor","",""
"","2139","Проверка роста счётчика ""Выполнено за сегодня""","tests","Sat Jun 21 23:01:53 MSK 2025","passed","Sat Jun 21 23:01:55 MSK 2025","TestFeed","test_feed","",""
"","2295","Проверка роста счётчика ""Выполнено за сегодня""","tests","Sat Jun 21 23:01:40 MSK 2025","passed","Sat Jun 21 23:01:42 MSK 2025","TestFeed","test_feed","",""
